Packet 79: delay_time=246ms, response=PSTART 27-02-2023 20:10:13 PSTOP
Packet 80: delay_time=253ms, response=PSTART 27-02-2023 20:10:14 PSTOP
Packet 81: delay_time=236ms, response=PSTART 27-02-2023 20:10:14 PSTOP
Packet 82: delay_time=256ms, response=PSTART 27-02-2023 20:10:14 PSTOP
Packet 83: delay_time=261ms, response=PSTART 27-02-2023 20:10:14 PSTOP
Packet 84: delay_time=245ms, response=PSTART 27-02-2023 20:10:15 PSTOP
Packet 85: delay_time=239ms, response=PSTART 27-02-2023 20:10:15 PSTOP
Packet 86: delay_time=246ms, response=PSTART 27-02-2023 20:10:15 PSTOP
Packet 87: delay_time=255ms, response=PSTART 27-02-2023 20:10:15 PSTOP
Packet 88: delay_time=244ms, response=PSTART 27-02-2023 20:10:16 PSTOP
Packet 89: delay_time=254ms, response=PSTART 27-02-2023 20:10:16 PSTOP
Packet 90: delay_time=249ms, response=PSTART 27-02-2023 20:10:16 PSTOP
Packet 91: delay_time=250ms, response=PSTART 27-02-2023 20:10:16 PSTOP
Packet 92: delay_time=244ms, response=PSTART 27-02-2023 20:10:17 PSTOP
Packet 93: delay_time=241ms, response=PSTART 27-02-2023 20:10:17 PSTOP
Packet 94: delay_time=246ms, response=PSTART 27-02-2023 20:10:17 PSTOP
Packet 95: delay_time=253ms, response=PSTART 27-02-2023 20:10:17 PSTOP
Packet 96: delay_time=238ms, response=PSTART 27-02-2023 20:10:17 PSTOP
Packet 97: delay_time=241ms, response=PSTART 27-02-2023 20:10:18 PSTOP
Packet 98: delay_time=255ms, response=PSTART 27-02-2023 20:10:18 PSTOP
Packet 99: delay_time=243ms, response=PSTART 27-02-2023 20:10:18 PSTOP
Packet 100: delay_time=248ms, response=PSTART 27-02-2023 20:10:18 PSTOP
Packet 101: delay_time=238ms, response=PSTART 27-02-2023 20:10:19 PSTOP
Packet 102: delay_time=248ms, response=PSTART 27-02-2023 20:10:19 PSTOP
Packet 103: delay_time=249ms, response=PSTART 27-02-2023 20:10:19 PSTOP
Packet 104: delay_time=241ms, response=PSTART 27-02-2023 20:10:19 PSTOP
Packet 105: delay_time=259ms, response=PSTART 27-02-2023 20:10:20 PSTOP
Packet 106: delay_time=254ms, response=PSTART 27-02-2023 20:10:20 PSTOP
Packet 107: delay_time=247ms, response=PSTART 27-02-2023 20:10:20 PSTOP
Packet 108: delay_time=248ms, response=PSTART 27-02-2023 20:10:20 PSTOP
Packet 109: delay_time=248ms, response=PSTART 27-02-2023 20:10:21 PSTOP
Packet 110: delay_time=259ms, response=PSTART 27-02-2023 20:10:21 PSTOP
Packet 111: delay_time=239ms, response=PSTART 27-02-2023 20:10:21 PSTOP
Packet 112: delay_time=256ms, response=PSTART 27-02-2023 20:10:21 PSTOP
Packet 113: delay_time=239ms, response=PSTART 27-02-2023 20:10:22 PSTOP
Packet 114: delay_time=250ms, response=PSTART 27-02-2023 20:10:22 PSTOP
Packet 115: delay_time=250ms, response=PSTART 27-02-2023 20:10:22 PSTOP
Packet 116: delay_time=254ms, response=PSTART 27-02-2023 20:10:22 PSTOP
Packet 117: delay_time=245ms, response=PSTART 27-02-2023 20:10:23 PSTOP
Packet 118: delay_time=247ms, response=PSTART 27-02-2023 20:10:23 PSTOP
Packet 119: delay_time=248ms, response=PSTART 27-02-2023 20:10:23 PSTOP
Packet 120: delay_time=244ms, response=PSTART 27-02-2023 20:10:23 PSTOP
Packet 121: delay_time=246ms, response=PSTART 27-02-2023 20:10:24 PSTOP
Packet 122: delay_time=251ms, response=PSTART 27-02-2023 20:10:24 PSTOP
Packet 123: delay_time=251ms, response=PSTART 27-02-2023 20:10:24 PSTOP
Packet 124: delay_time=246ms, response=PSTART 27-02-2023 20:10:24 PSTOP
Packet 125: delay_time=240ms, response=PSTART 27-02-2023 20:10:25 PSTOP
Packet 126: delay_time=261ms, response=PSTART 27-02-2023 20:10:25 PSTOP
Packet 127: delay_time=245ms, response=PSTART 27-02-2023 20:10:25 PSTOP
Packet 128: delay_time=247ms, response=PSTART 27-02-2023 20:10:25 PSTOP
Packet 129: delay_time=246ms, response=PSTART 27-02-2023 20:10:26 PSTOP
Packet 130: delay_time=244ms, response=PSTART 27-02-2023 20:10:26 PSTOP
Packet 131: delay_time=244ms, response=PSTART 27-02-2023 20:10:26 PSTOP
Packet 132: delay_time=253ms, response=PSTART 27-02-2023 20:10:26 PSTOP
Packet 133: delay_time=258ms, response=PSTART 27-02-2023 20:10:27 PSTOP
Packet 134: delay_time=246ms, response=PSTART 27-02-2023 20:10:27 PSTOP
Packet 135: delay_time=244ms, response=PSTART 27-02-2023 20:10:27 PSTOP
Packet 136: delay_time=247ms, response=PSTART 27-02-2023 20:10:27 PSTOP
Packet 137: delay_time=237ms, response=PSTART 27-02-2023 20:10:28 PSTOP
Packet 138: delay_time=255ms, response=PSTART 27-02-2023 20:10:28 PSTOP
Packet 139: delay_time=247ms, response=PSTART 27-02-2023 20:10:28 PSTOP
Packet 140: delay_time=244ms, response=PSTART 27-02-2023 20:10:28 PSTOP
Packet 141: delay_time=248ms, response=PSTART 27-02-2023 20:10:29 PSTOP
