Packet count: 5, Throughput: 0.63 pps
Packet count: 10, Throughput: 0.63 pps
Packet count: 16, Throughput: 0.75 pps
Packet count: 23, Throughput: 0.88 pps
Packet count: 29, Throughput: 0.75 pps
Packet count: 35, Throughput: 0.75 pps
Packet count: 40, Throughput: 0.63 pps
Packet count: 46, Throughput: 0.75 pps
Packet count: 52, Throughput: 0.75 pps
Packet count: 58, Throughput: 0.75 pps
Packet count: 64, Throughput: 0.75 pps
Packet count: 70, Throughput: 0.75 pps
Packet count: 76, Throughput: 0.75 pps
Packet count: 82, Throughput: 0.75 pps
Packet count: 89, Throughput: 0.88 pps
Packet count: 95, Throughput: 0.75 pps
Packet count: 103, Throughput: 1.00 pps
Packet count: 109, Throughput: 0.75 pps
Packet count: 114, Throughput: 0.63 pps
Packet count: 119, Throughput: 0.63 pps
Packet count: 125, Throughput: 0.75 pps
Packet count: 131, Throughput: 0.75 pps
Packet count: 137, Throughput: 0.75 pps
Packet count: 144, Throughput: 0.88 pps
Packet count: 150, Throughput: 0.75 pps
Packet count: 156, Throughput: 0.75 pps
